team,10/16/2018,10/17/2018,10/18/2018,10/19/2018,10/20/2018,10/21/2018,10/22/2018,10/23/2018,10/24/2018,10/25/2018,10/26/2018,10/27/2018,10/28/2018,10/29/2018,10/30/2018,10/31/2018,11/1/2018,11/2/2018,11/3/2018,11/4/2018,11/5/2018,11/6/2018,11/7/2018,11/8/2018,11/9/2018,11/10/2018,11/11/2018,11/12/2018,11/13/2018,11/14/2018,11/15/2018,11/16/2018,11/17/2018,11/18/2018,11/19/2018,11/20/2018,11/21/2018,11/22/2018,11/23/2018,11/24/2018,11/25/2018,11/26/2018,11/27/2018,11/28/2018,11/29/2018,11/30/2018,12/1/2018,12/2/2018,12/3/2018,12/4/2018,12/5/2018,12/6/2018,12/7/2018,12/8/2018,12/9/2018,12/10/2018,12/11/2018,12/12/2018,12/13/2018,12/14/2018,12/15/2018,12/16/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/22/2018,12/23/2018,12/24/2018,12/25/2018,12/26/2018,12/27/2018,12/28/2018,12/29/2018,12/30/2018,12/31/2018,1/1/2019,1/2/2019,1/3/2019,1/4/2019,1/5/2019,1/6/2019,1/7/2019,1/8/2019,1/9/2019,1/10/2019,1/11/2019,1/12/2019,1/13/2019,1/14/2019,1/15/2019,1/16/2019,1/17/2019,1/18/2019,1/19/2019,1/20/2019,1/21/2019,1/22/2019,1/23/2019,1/24/2019,1/25/2019,1/26/2019,1/27/2019,1/28/2019,1/29/2019,1/30/2019,1/31/2019,2/1/2019,2/2/2019,2/3/2019,2/4/2019,2/5/2019,2/6/2019,2/7/2019,2/8/2019,2/9/2019,2/10/2019,2/11/2019,2/12/2019,2/13/2019,2/14/2019,2/15/2019,2/16/2019,2/17/2019,2/18/2019,2/19/2019,2/20/2019,2/21/2019,2/22/2019,2/23/2019,2/24/2019,2/25/2019,2/26/2019,2/27/2019,2/28/2019,3/1/2019,3/2/2019,3/3/2019,3/4/2019,3/5/2019,3/6/2019,3/7/2019,3/8/2019,3/9/2019,3/10/2019,3/11/2019,3/12/2019,3/13/2019,3/14/2019,3/15/2019,3/16/2019,3/17/2019,3/18/2019,3/19/2019,3/20/2019,3/21/2019,3/22/2019,3/23/2019,3/24/2019,3/25/2019,3/26/2019,3/27/2019,3/28/2019,3/29/2019,3/30/2019,3/31/2019,4/1/2019,4/2/2019,4/3/2019,4/4/2019,4/5/2019,4/6/2019,4/7/2019,4/8/2019,4/9/2019,4/10/2019,4/11/2019,4/12/2019,4/13/2019,4/14/2019,4/15/2019,4/16/2019,4/17/2019,4/18/2019,4/19/2019,4/20/2019,4/21/2019
San Antonio,,,,,San Antonio@Portland,,San Antonio@LAL,,,,,,,,,San Antonio@Phoenix,,,,,,,San Antonio@Miami,,,,,San Antonio@Sacramento,,San Antonio@Phoenix,San Antonio@LAC,,,,San Antonio@New Orleans,,,,San Antonio@Indianapolis,San Antonio@Milwakee,,San Antonio@Chicago,,San Antonio@Minneapolis,,,,,,San Antonio@Utah,San Antonio@LAL,,,,,,,,,,,,,,San Antonio@Orlando,,,San Antonio@Houston,,,,,,San Antonio@Denver,San Antonio@LAC,,,,,,,,,San Antonio@Detroit,,San Antonio@Memphis,,,San Antonio@OKC,,,,San Antonio@Dallas,,San Antonio@Minneapolis,,,,,San Antonio@Philedelphia,,,San Antonio@New Orleans,,,,,,,,,San Antonio@Sacramento,,San Antonio@Oakland,San Antonio@Portland,,San Antonio@Utah,,,San Antonio@Memphis,,,,,,,,,,San Antonio@Toronto,,San Antonio@New York,San Antonio@Brooklyn,,,,,,,,,San Antonio@Atlanta,,,,,,San Antonio@Dallas,,,,,,,,,,San Antonio@Houston,,San Antonio@Boston,,San Antonio@Charlotte,,,,,,,,San Antonio@Denver,,San Antonio@Washington,,San Antonio@Cleveland,,,,,,,,,,,,,,
Houston,,,,,Houston@LAL,Houston@LAC,,,,,,,,,,,,Houston@Brooklyn,Houston@Chicago,,Houston@Indianapolis,,,Houston@OKC,,Houston@San Antonio,,,Houston@Denver,,,,,,,,,,Houston@Detroit,Houston@Cleveland,,Houston@Washington,,,,Houston@San Antonio,,,Houston@Minneapolis,,,Houston@Utah,,Houston@Dallas,,,,,,,Houston@Memphis,,,,,Houston@Miami,,,,,,,,,Houston@New Orleans,,,,,Houston@Oakland,,Houston@Portland,,,,,,,,Houston@Orlando,,,,,,,,Houston@Philedelphia,,Houston@New York,,,,,,,,,Houston@Denver,Houston@Utah,,Houston@Phoenix,,Houston@Sacramento,,,,,,,Houston@Minneapolis,,,,,,,,Houston@LAL,,Houston@Oakland,,,,Houston@Charlotte,,,,Houston@Boston,,Houston@Toronto,,,,,Houston@Dallas,,,,,,,,,Houston@Atlanta,Houston@Memphis,,,,Houston@New Orleans,,Houston@Milwakee,,,,,,,Houston@Sacramento,Houston@LAC,,,,,,Houston@OKC,,,,,,,,,,,,
New Orleans,,New Orleans@Houston,,,,,,,,,,,,New Orleans@Denver,,New Orleans@Oakland,New Orleans@Portland,,New Orleans@San Antonio,,New Orleans@OKC,,,,,,,New Orleans@Toronto,,New Orleans@Minneapolis,,,,,,,New Orleans@Philedelphia,,New Orleans@New York,New Orleans@Washington,,,,,,New Orleans@Miami,,New Orleans@Charlotte,,,,,,,New Orleans@Detroit,New Orleans@Boston,,,,,,,,,New Orleans@Milwakee,,New Orleans@LAL,,New Orleans@Sacramento,,,New Orleans@Dallas,,,,,,,New Orleans@Brooklyn,,,New Orleans@Cleveland,,,,,,,New Orleans@Minneapolis,,New Orleans@LAC,,New Orleans@Oakland,,New Orleans@Portland,,,New Orleans@Memphis,,,New Orleans@OKC,,,,,New Orleans@Houston,,,,New Orleans@San Antonio,,,,New Orleans@Chicago,,,New Orleans@Memphis,,,,,,,,,,,,,New Orleans@Indianapolis,,,,,New Orleans@LAL,,New Orleans@Phoenix,New Orleans@Denver,,New Orleans@Utah,,,,,,New Orleans@Atlanta,,,,,,,,New Orleans@Dallas,,New Orleans@Orlando,,,,,,,,,,,,,,,,New Orleans@Phoenix,,New Orleans@Sacramento,,,,,,,,,,,,,,
Memphis,,Memphis@Indianapolis,,,,,Memphis@Utah,,Memphis@Sacramento,,,,,,,,,Memphis@Utah,,Memphis@Phoenix,Memphis@Oakland,,,,,,,,,Memphis@Milwakee,,,,Memphis@Minneapolis,,,Memphis@San Antonio,,Memphis@LAC,,,,,,,Memphis@Brooklyn,,Memphis@Philedelphia,,,,,Memphis@New Orleans,,,Memphis@Denver,,,,,,,Memphis@Oakland,,Memphis@Portland,,Memphis@Sacramento,,Memphis@LAL,,,,,,,,Memphis@Houston,,,,,Memphis@San Antonio,,Memphis@New Orleans,,,,,Memphis@Miami,,Memphis@Houston,,,,Memphis@Boston,Memphis@Toronto,,,,,,,,,,,Memphis@Minneapolis,,Memphis@Charlotte,,Memphis@New York,,,,Memphis@OKC,,,,,,Memphis@Chicago,,,,,,,,,,Memphis@Cleveland,,,,,,,Memphis@Dallas,Memphis@OKC,,,,,,,,,,Memphis@Atlanta,,,Memphis@Washington,,,,,,Memphis@Orlando,,,,,,,,Memphis@Phoenix,Memphis@LAC,,,Memphis@Portland,,Memphis@Dallas,,,,Memphis@Detroit,,,,,,,,,,,,
Minneapolis,,Minneapolis@San Antonio,,,Minneapolis@Dallas,,,,Minneapolis@Toronto,,,,,,,,,Minneapolis@Oakland,,Minneapolis@Portland,Minneapolis@LAC,,Minneapolis@LAL,,Minneapolis@Sacramento,,,,,,,,,,,,,,Minneapolis@Brooklyn,,,Minneapolis@Cleveland,,,,,,,,,,,,Minneapolis@Portland,,Minneapolis@Oakland,,Minneapolis@Sacramento,,,Minneapolis@Phoenix,,,,,,Minneapolis@San Antonio,,Minneapolis@OKC,,,Minneapolis@Chicago,,,,Minneapolis@Miami,Minneapolis@New Orleans,,Minneapolis@Boston,,,,,,Minneapolis@OKC,,,,,,,Minneapolis@Philedelphia,,,,,,,Minneapolis@Phoenix,,Minneapolis@LAL,Minneapolis@Utah,,,,,,,,,,,Minneapolis@Memphis,,Minneapolis@Orlando,Minneapolis@New Orleans,,,,,,,,,,,,,,Minneapolis@New York,Minneapolis@Milwakee,,,,Minneapolis@Atlanta,Minneapolis@Indianapolis,,,Minneapolis@Washington,,,Minneapolis@Detroit,,,,,,Minneapolis@Denver,,Minneapolis@Utah,,,Minneapolis@Houston,,,,Minneapolis@Charlotte,,Minneapolis@Memphis,,,,,,,,,,,Minneapolis@Dallas,,,,,,,Minneapolis@Denver,,,,,,,,,,,
Boston,,,,Boston@Toronto,Boston@New York,,,,,Boston@OKC,,Boston@Detroit,,,,,,,Boston@Indianapolis,,Boston@Denver,,,Boston@Phoenix,Boston@Utah,,Boston@Portland,,,,,,,,Boston@Charlotte,,,,Boston@Atlanta,Boston@Dallas,,Boston@New Orleans,,,,,Boston@Minneapolis,,,,,,,Boston@Chicago,,,,Boston@Washington,,,Boston@Detroit,,,,,,,,,,,,Boston@Houston,,Boston@Memphis,,Boston@San Antonio,,,,,,,,,,Boston@Miami,,Boston@Orlando,,Boston@Brooklyn,,,,,Boston@Atlanta,,,,,,,,,,,,,Boston@New York,,,,Boston@Cleveland,,,,,,,Boston@Philedelphia,,,,,,,,,Boston@Milwakee,,Boston@Chicago,,,Boston@Toronto,,,,,,,Boston@Oakland,Boston@Sacramento,,,Boston@LAL,,Boston@LAC,,,,,,,,,Boston@Philedelphia,,,Boston@Charlotte,,,Boston@Cleveland,,,,Boston@Brooklyn,,,,Boston@Miami,,Boston@Indianapolis,,,,Boston@Washington,,,,,,,,,,,,
Toronto,,,,,Toronto@Washington,,,,,,,,,Toronto@Milwakee,,,,Toronto@Phoenix,,Toronto@LAL,Toronto@Utah,,Toronto@Sacramento,,,,,,,,,Toronto@Boston,Toronto@Chicago,,,Toronto@Orlando,Toronto@Atlanta,,,,,,Toronto@Memphis,,,,Toronto@Cleveland,,,,,,Toronto@Brooklyn,,,,Toronto@LAC,Toronto@Oakland,,Toronto@Portland,,Toronto@Denver,,,,,,Toronto@Philedelphia,,,,Toronto@Miami,,Toronto@Orlando,,,,,,Toronto@San Antonio,,Toronto@Milwakee,,,,,,,,Toronto@Washington,,,Toronto@Boston,,,,,,,Toronto@Indianapolis,,Toronto@Houston,,Toronto@Dallas,,,,,,,,,Toronto@Philedelphia,,Toronto@Atlanta,,Toronto@New York,,,,,,,,,,,,,,,,,,,,,,Toronto@Detroit,,,,,Toronto@New Orleans,,Toronto@Miami,Toronto@Cleveland,,,,,,Toronto@Detroit,,,Toronto@OKC,,,,,,,,Toronto@New York,,Toronto@Chicago,,,,Toronto@Brooklyn,,Toronto@Charlotte,,,,Toronto@Minneapolis,,,,,,,,,,,,
New York,,,,New York@Brooklyn,,,New York@Milwakee,,New York@Miami,,,,,,,,,New York@Dallas,,New York@Washington,,,New York@Atlanta,,,New York@Toronto,,,,New York@OKC,,New York@New Orleans,,New York@Orlando,,,New York@Boston,,,,New York@Memphis,,New York@Detroit,New York@Philedelphia,,,,,,,,New York@Boston,,,,,,New York@Cleveland,,New York@Charlotte,,New York@Indianapolis,,,New York@Philedelphia,,,,,,,,New York@Milwakee,,New York@Utah,,,New York@Denver,,,New York@LAL,,,New York@Portland,New York@Oakland,,,,,,,,,New York@Washington,,,,,,,,New York@Brooklyn,,,New York@Charlotte,,,,,,,,,,,New York@Detroit,,,New York@Cleveland,,,New York@Atlanta,,,,,,,,,,,,,,,,,New York@LAC,New York@Sacramento,,New York@Phoenix,,,,New York@Minneapolis,,New York@Indianapolis,,,New York@San Antonio,,,New York@Toronto,,,,,,,,,,,,,,,,New York@Orlando,,New York@Houston,,,,New York@Chicago,,,,,,,,,,,,
Philedelphia,Philedelphia@Boston,,,,,,,Philedelphia@Detroit,Philedelphia@Milwakee,,,,,,Philedelphia@Toronto,,,,,Philedelphia@Brooklyn,,,Philedelphia@Indianapolis,,,Philedelphia@Memphis,,Philedelphia@Miami,,Philedelphia@Orlando,,,Philedelphia@Charlotte,,,,,,,,Philedelphia@Brooklyn,,,,,,,,,,Philedelphia@Toronto,,Philedelphia@Detroit,,,,,,,,,Philedelphia@Cleveland,Philedelphia@San Antonio,,,,,,,,Philedelphia@Boston,,Philedelphia@Utah,,,Philedelphia@Portland,,Philedelphia@LAC,Philedelphia@Phoenix,,,,,,,Philedelphia@Washington,,,,Philedelphia@New York,,,,Philedelphia@Indianapolis,,,,,,,,,Philedelphia@Denver,,,Philedelphia@LAL,,Philedelphia@Oakland,,Philedelphia@Sacramento,,,,,,,,,,,Philedelphia@New York,,,,,,,,,,,,Philedelphia@New Orleans,,,Philedelphia@OKC,,,,,,Philedelphia@Chicago,,Philedelphia@Houston,,,,,,,,,Philedelphia@Milwakee,,Philedelphia@Charlotte,,,,Philedelphia@Atlanta,,Philedelphia@Orlando,,,,,Philedelphia@Minneapolis,,Philedelphia@Dallas,,Philedelphia@Atlanta,,,Philedelphia@Chicago,,,Philedelphia@Miami,,,,,,,,,,,,
Brooklyn,,Brooklyn@Detroit,,,Brooklyn@Indianapolis,,,,Brooklyn@Cleveland,,Brooklyn@New Orleans,,,Brooklyn@New York,,,,,,,,Brooklyn@Phoenix,,,Brooklyn@Denver,Brooklyn@Oakland,,Brooklyn@Minneapolis,,,,Brooklyn@Washington,,,,Brooklyn@Miami,Brooklyn@Dallas,,,,,,,,,,Brooklyn@Washington,,,,,,,Brooklyn@New York,,,,Brooklyn@Philedelphia,,,,,,,Brooklyn@Chicago,,,,,,,,,Brooklyn@Charlotte,Brooklyn@Milwakee,,,,,,Brooklyn@Memphis,,Brooklyn@Chicago,Brooklyn@Boston,,,,Brooklyn@Toronto,,,,,Brooklyn@Houston,,Brooklyn@Orlando,,,,,,,,,,Brooklyn@Boston,,,Brooklyn@San Antonio,,Brooklyn@Orlando,,,,,,,,,Brooklyn@Toronto,,Brooklyn@Cleveland,,,,,,,,,,Brooklyn@Charlotte,,,,,,,Brooklyn@Miami,,,,,,,Brooklyn@Atlanta,,,,Brooklyn@OKC,,,Brooklyn@Utah,Brooklyn@LAC,,Brooklyn@Sacramento,,,Brooklyn@LAL,,,Brooklyn@Portland,,,Brooklyn@Philedelphia,,,,,,,,,Brooklyn@Milwakee,Brooklyn@Indianapolis,,,,,,,,,,,,,,
